taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13386,14390,13716,15056,13444,16179,9903,53294,52449,11538,58620,45817
13370,14393,13725,15068,13471,16221,9925,53419,52456,11520,58668,45803
13384,14380,13744,15046,13505,16192,9920,53400,52461,11527,58672,45796
13393,14413,13732,15079,13511,16200,9941,53396,52548,11528,58724,45868
13400,14397,13737,14993,13487,16196,9923,53305,52522,11529,58650,45829
13410,14412,13752,15058,13520,16225,9921,53435,52576,11567,58773,45906
13404,14369,13759,14951,13474,16212,9896,53297,52499,11537,58678,45795
13399,14366,13780,15015,13450,16252,9900,53400,52473,11544,58786,45794
13410,14363,13773,15048,13437,16197,9950,53358,52493,11527,58705,45865
13445,14373,13780,15014,13421,16228,9934,53347,52542,11514,58729,45849
13415,14403,13764,15096,13403,16233,9922,53427,52524,11525,58691,45870
13431,14392,13813,15074,13373,16223,9941,53430,52542,11560,58689,45928
13407,14381,13768,14979,13390,16209,9916,53311,52469,11548,58635,45793
13419,14386,13793,15054,13356,16239,9931,53407,52492,11547,58696,45885
13389,14397,13763,15053,13345,16267,9924,53375,52488,11550,58654,45846
13397,14432,13768,15044,13384,16268,9897,53388,52509,11512,58700,45815
13400,14379,13733,15067,13364,16270,9968,53363,52493,11535,58653,45898
13387,14390,13727,15038,13367,16235,9945,53350,52462,11541,58612,45885
13397,14387,13735,14991,13384,16254,9920,53271,52485,11539,58657,45776
13377,14396,13722,15097,13397,16235,9908,53395,52485,11531,58643,45780
13371,14375,13725,15057,13389,16231,9901,53341,52391,11530,58666,45787
13386,14387,13714,15125,13423,16239,9934,53424,52461,11532,58679,45787
13391,14404,13700,15101,13420,16216,9896,53385,52446,11532,58640,45783
13382,14407,13701,15135,13445,16228,9947,53423,52520,11539,58670,45836
13360,14406,13674,15152,13460,16193,9849,53398,52381,11522,58635,45732
13355,14367,13682,15122,13486,16239,9920,53466,52376,11524,58676,45788
13375,14383,13693,15066,13500,16188,9894,53433,52421,11524,58679,45763
13379,14396,13682,15072,13530,16244,9914,53461,52480,11533,58735,45815
13409,14405,13687,15092,13534,16242,9942,53480,52554,11522,58779,45815
13375,14440,13720,15117,13553,16209,9962,53567,52540,11534,58747,45912
13383,14377,13727,15000,13554,16223,9968,53465,52497,11530,58765,45877
13384,14439,13743,15039,13525,16212,9947,53478,52569,11532,58780,45842
13402,14385,13784,15006,13524,16185,9916,53418,52477,11531,58728,45831
13434,14372,13793,15012,13469,16229,9920,53404,52564,11530,58792,45858
13443,14366,13823,14978,13447,16201,9925,53329,52547,11535,58756,45851
13458,14367,13853,15035,13370,16218,9934,53431,52546,11545,58745,45897
13448,14334,13838,15026,13354,16235,9903,53451,52462,11574,58684,45874
13430,14365,13829,15014,13340,16293,9904,53411,52487,11535,58710,45850
13430,14355,13777,15061,13335,16293,9912,53414,52468,11536,58685,45857
13411,14396,13773,15076,13354,16260,9914,53391,52487,11540,58686,45834
13435,14367,13789,14984,13350,16304,9917,53368,52488,11519,58687,45833
13413,14369,13759,15067,13366,16320,9932,53429,52469,11526,58751,45807
13402,14385,13730,15008,13342,16317,9922,53339,52459,11514,58638,45822
13370,14417,13708,15034,13356,16343,9897,53366,52454,11533,58721,45744
13376,14394,13714,15093,13368,16254,9901,53367,52428,11537,58617,45795
13400,14438,13698,15062,13386,16295,9900,53314,52535,11522,58717,45780
13385,14413,13712,15101,13408,16240,9929,53389,52520,11523,58663,45817
13369,14450,13708,15093,13427,16241,9947,53373,52555,11531,58658,45880
13358,14433,13683,15073,13461,16174,9928,53322,52484,11513,58644,45794
13352,14433,13704,15061,13484,16166,9888,53331,52479,11531,58652,45762
13365,14436,13707,15019,13484,16227,9911,53324,52550,11526,58662,45784
13378,14417,13722,15040,13541,16220,9914,53356,52598,11539,58769,45806
13380,14408,13717,15019,13525,16187,9901,53321,52553,11527,58701,45789
13386,14397,13741,14975,13537,16247,9925,53320,52564,11518,58811,45777
13419,14372,13753,15015,13489,16172,9910,53328,52528,11515,58721,45766
13456,14418,13772,15061,13432,16173,9920,53371,52600,11551,58712,45863
13470,14368,13779,15009,13408,16204,9923,53338,52519,11522,58712,45818
13464,14390,13779,15009,13382,16178,9948,53326,52564,11534,58658,45875
13497,14356,13772,15054,13381,16193,9917,53414,52509,11571,58699,45884
13453,14351,13775,15004,13353,16269,9939,53326,52507,11531,58710,45832
13432,14374,13770,15034,13353,16252,9901,53324,52474,11516,58710,45755
13433,14365,13781,15046,13351,16246,9908,53371,52477,11533,58657,45826
13432,14380,13780,15015,13348,16289,9886,53340,52465,11523,58676,45800
13414,14392,13769,15060,13351,16256,9915,53384,52503,11522,58652,45852
13412,14400,13754,15019,13375,16253,9950,53343,52576,11526,58657,45876
13419,14407,13758,15038,13399,16227,9945,53400,52544,11544,58651,45915
13388,14394,13751,15058,13389,16215,9895,53366,52443,11530,58627,45792
13400,14434,13729,15056,13379,16233,9926,53353,52529,11550,58623,45898
13382,14381,13726,15043,13380,16259,9930,53294,52487,11526,58657,45835
13394,14420,13738,15135,13402,16218,9951,53453,52544,11547,58656,45902
13393,14432,13720,15088,13417,16249,9955,53398,52579,11532,58695,45879
13375,14436,13700,15132,13434,16230,10021,53418,52618,11535,58708,45933
13380,14409,13719,15087,13482,16214,9924,53409,52506,11530,58702,45829
13383,14404,13720,15029,13530,16205,9923,53372,52529,11532,58729,45849
13370,14417,13710,15017,13533,16187,9890,53343,52502,11539,58727,45749
